site,low_age_cut,high_age_cut,Obtained_N,age_diff,age_bins
eNKI,26.0,73.0,248,47.0,3
eNKI,26.0,74.0,248,48.0,3
eNKI,26.0,75.0,372,49.0,3
eNKI,26.0,76.0,252,50.0,3
eNKI,26.0,77.0,252,51.0,3
eNKI,26.0,78.0,378,52.0,3
eNKI,26.0,79.0,268,53.0,3
eNKI,26.0,80.0,268,54.0,3
eNKI,26.0,81.0,402,55.0,3
eNKI,26.0,82.0,296,56.0,3
eNKI,26.0,83.0,296,57.0,3
eNKI,26.0,84.0,390,58.0,3
eNKI,26.0,85.0,344,59.0,3
eNKI,27.0,29.0,28,2.0,3
eNKI,27.0,30.0,40,3.0,3
eNKI,27.0,31.0,54,4.0,3
eNKI,27.0,32.0,52,5.0,3
eNKI,27.0,33.0,52,6.0,3
eNKI,27.0,34.0,78,7.0,3
eNKI,27.0,35.0,72,8.0,3
eNKI,27.0,36.0,72,9.0,3
eNKI,27.0,37.0,78,10.0,3
eNKI,27.0,38.0,72,11.0,3
eNKI,27.0,39.0,72,12.0,3
eNKI,27.0,40.0,102,13.0,3
eNKI,27.0,41.0,92,14.0,3
eNKI,27.0,42.0,92,15.0,3
eNKI,27.0,43.0,132,16.0,3
eNKI,27.0,44.0,96,17.0,3
eNKI,27.0,45.0,96,18.0,3
eNKI,27.0,46.0,132,19.0,3
eNKI,27.0,47.0,96,20.0,3
eNKI,27.0,48.0,96,21.0,3
eNKI,27.0,49.0,144,22.0,3
eNKI,27.0,50.0,128,23.0,3
eNKI,27.0,51.0,128,24.0,3
eNKI,27.0,52.0,192,25.0,3
eNKI,27.0,53.0,148,26.0,3
eNKI,27.0,54.0,148,27.0,3
eNKI,27.0,55.0,192,28.0,3
eNKI,27.0,56.0,160,29.0,3
eNKI,27.0,57.0,160,30.0,3
eNKI,27.0,58.0,228,31.0,3
eNKI,27.0,59.0,172,32.0,3
eNKI,27.0,60.0,172,33.0,3
eNKI,27.0,61.0,258,34.0,3
